id	jurisdiction	full_name	short_name	in_use	start_date	end_date	parent_court_id
texdistct401	ST	Texas 400th Judicial District Court	Tex. 400th Jud. Dist. Ct.	f			texdistct
texdistct402	ST	Texas 401st Judicial District Court	Tex. 401st Jud. Dist. Ct.	f			texdistct
texdistct403	ST	Texas 402nd Judicial District Court	Tex. 402nd Jud. Dist. Ct.	f			texdistct
texdistct404	ST	Texas 403rd Judicial District Court	Tex. 403rd Jud. Dist. Ct.	f			texdistct
texdistct405	ST	Texas 404th Judicial District Court	Tex. 404th Jud. Dist. Ct.	f			texdistct
texdistct406	ST	Texas 405th Judicial District Court	Tex. 405th Jud. Dist. Ct.	f			texdistct
texdistct407	ST	Texas 406th Judicial District Court	Tex. 406th Jud. Dist. Ct.	f			texdistct
texdistct408	ST	Texas 407th Judicial District Court	Tex. 407th Jud. Dist. Ct.	f			texdistct
texdistct409	ST	Texas 408th Judicial District Court	Tex. 408th Jud. Dist. Ct.	f			texdistct
texdistct41	ST	Texas 40th Judicial District Court	Tex. 40th Jud. Dist. Ct.	f			texdistct
texdistct410	ST	Texas 409th Judicial District Court	Tex. 409th Jud. Dist. Ct.	f			texdistct
texdistct411	ST	Texas 410th Judicial District Court	Tex. 410th Jud. Dist. Ct.	f			texdistct
texdistct412	ST	Texas 411th Judicial District Court	Tex. 411th Jud. Dist. Ct.	f			texdistct
texdistct413	ST	Texas 412th Judicial District Court	Tex. 412th Jud. Dist. Ct.	f			texdistct
texdistct414	ST	Texas 413th Judicial District Court	Tex. 413th Jud. Dist. Ct.	f			texdistct
texdistct415	ST	Texas 414th Judicial District Court	Tex. 414th Jud. Dist. Ct.	f			texdistct
texdistct416	ST	Texas 415th Judicial District Court	Tex. 415th Jud. Dist. Ct.	f			texdistct
texdistct417	ST	Texas 416th Judicial District Court	Tex. 416th Jud. Dist. Ct.	f			texdistct
texdistct418	ST	Texas 417th Judicial District Court	Tex. 417th Jud. Dist. Ct.	f			texdistct
texdistct419	ST	Texas 418th Judicial District Court	Tex. 418th Jud. Dist. Ct.	f			texdistct
texdistct42	ST	Texas 41st Judicial District Court	Tex. 41st Jud. Dist. Ct.	f			texdistct
texdistct420	ST	Texas 419th Judicial District Court	Tex. 419th Jud. Dist. Ct.	f			texdistct
texdistct421	ST	Texas 420th Judicial District Court	Tex. 420th Jud. Dist. Ct.	f			texdistct
texdistct422	ST	Texas 421st Judicial District Court	Tex. 421st Jud. Dist. Ct.	f			texdistct
texdistct423	ST	Texas 422nd Judicial District Court	Tex. 422nd Jud. Dist. Ct.	f			texdistct
texdistct424	ST	Texas 423rd Judicial District Court	Tex. 423rd Jud. Dist. Ct.	f			texdistct
texdistct425	ST	Texas 424th Judicial District Court	Tex. 424th Jud. Dist. Ct.	f			texdistct
texdistct426	ST	Texas 425th Judicial District Court	Tex. 425th Jud. Dist. Ct.	f			texdistct
texdistct427	ST	Texas 426th Judicial District Court	Tex. 426th Jud. Dist. Ct.	f			texdistct
texdistct428	ST	Texas 427th Judicial District Court	Tex. 427th Jud. Dist. Ct.	f			texdistct
texdistct429	ST	Texas 428th Judicial District Court	Tex. 428th Jud. Dist. Ct.	f			texdistct
texdistct43	ST	Texas 42nd Judicial District Court	Tex. 42nd Jud. Dist. Ct.	f			texdistct
texdistct430	ST	Texas 429th Judicial District Court	Tex. 429th Jud. Dist. Ct.	f			texdistct
texdistct431	ST	Texas 430th Judicial District Court	Tex. 430th Jud. Dist. Ct.	f			texdistct
texdistct432	ST	Texas 431st Judicial District Court	Tex. 431st Jud. Dist. Ct.	f			texdistct
texdistct433	ST	Texas 432nd Judicial District Court	Tex. 432nd Jud. Dist. Ct.	f			texdistct
